market,corrs,vols,mids,dates
SKivu_NKivu,-0.129739135,0.019385232,3,5/5/2021
SKivu_NKivu,-0.149936666,0.019385232,3,5/12/2021
SKivu_NKivu,-0.246680988,0.019385232,3,5/19/2021
SKivu_NKivu,-0.173990049,0.039138943,3,5/26/2021
SKivu_NKivu,-0.173990049,0.039138943,3,6/2/2021
SKivu_NKivu,-0.501322658,0.043455274,3,6/9/2021
SKivu_NKivu,-0.497568204,0.04156517,3,6/16/2021
SKivu_NKivu,-0.427873003,0.038891819,3,6/23/2021
SKivu_NKivu,-0.410784761,0.039245907,3,6/30/2021
SKivu_NKivu,-0.478531132,0.039245907,3,7/7/2021
SKivu_NKivu,-0.478531132,0.039245907,3,7/14/2021
SKivu_NKivu,-0.430854324,0.041199799,3,7/21/2021
SKivu_NKivu,-0.121648079,0.048222322,3,7/28/2021
SKivu_NKivu,-0.123936093,0.048225193,3,8/4/2021
SKivu_NKivu,-0.073394443,0.048222426,3,8/11/2021
SKivu_NKivu,-0.057855367,0.028685254,3,8/18/2021
SKivu_NKivu,-0.057855367,0.028685254,3,8/25/2021
SKivu_NKivu,0.267690616,0.027894782,3,9/1/2021
SKivu_NKivu,0.3015582,0.027894782,3,9/8/2021
SKivu_NKivu,0.3015582,0.027894782,3,9/15/2021
SKivu_NKivu,0.287730361,0.028257433,3,9/22/2021
SKivu_NKivu,0.287730361,0.028257433,3,9/29/2021
SKivu_NKivu,0.312012284,0.028642683,3,10/6/2021
SKivu_NKivu,0.287773921,0.028198203,3,10/13/2021
SKivu_NKivu,0.11647938,0.017551376,3,10/20/2021
SKivu_NKivu,0.177949008,0.017446095,3,10/27/2021
SKivu_NKivu,0.126528664,0.01745449,3,11/3/2021
SKivu_NKivu,0.126827779,0.01745449,3,11/10/2021
SKivu_NKivu,0.004949916,0.030356262,3,11/17/2021
SKivu_NKivu,0.025639947,0.03550167,3,11/24/2021
SKivu_NKivu,-0.025639947,0.03550167,3,12/15/2021
SKivu_NKivu,-0.025639947,0.03550167,3,12/22/2021
SKivu_NKivu,0,0.03368769,3,12/29/2021
SKivu_NKivu,0,0.048379162,3,1/5/2022
SKivu_NKivu,0,0.04846825,3,1/12/2022
SKivu_NKivu,0,0.048314545,3,1/19/2022
SKivu_NKivu,0,0.051537203,3,1/26/2022
SKivu_NKivu,0,0.055245084,3,2/2/2022
SKivu_NKivu,0,0.057592364,3,2/9/2022
SKivu_NKivu,0,0.049860349,3,2/16/2022
